orderid,userid,restaurantid,ordertype,deliveryaddress,deliverytime,deliverypersonid,notes,totalamount,orderdate
1097,170,397,Dostava,Random Address 54,2023-12-10 15:00:00,972,Napomena,6.00,2023-12-10 15:00:00
1098,171,397,Dostava,Random Address 55,2023-12-10 15:00:00,972,Napomena,6.00,2023-12-10 15:00:00
1099,172,397,Dostava,Random Address 56,2023-12-10 15:00:00,972,Napomena,6.00,2023-12-10 15:00:00
1100,173,397,Dostava,Random Address 57,2023-12-10 15:00:00,972,Napomena,6.00,2023-12-10 15:00:00
1101,174,397,Dostava,Random Address 58,2023-12-10 15:00:00,972,Napomena,6.00,2023-12-10 15:00:00
1102,175,397,Dostava,Random Address 59,2023-12-10 15:00:00,972,Napomena,6.00,2023-12-10 15:00:00
1103,176,397,Dostava,Random Address 60,2023-12-10 15:00:00,972,Napomena,6.00,2023-12-10 15:00:00
1104,167,397,Dostava,Random Address 11,2023-12-10 15:00:00,972,Napomena,16.00,2023-12-10 15:00:00
1105,168,397,Dostava,Random Address 21,2023-12-10 15:00:00,972,Napomena,20.00,2023-12-10 15:00:00
1106,169,397,Dostava,Random Address 31,2023-12-10 15:00:00,972,Napomena,49.00,2023-12-10 15:00:00
1107,170,397,Dostava,Random Address 41,2023-12-10 15:00:00,972,Napomena,50.00,2023-12-10 15:00:00
1108,171,397,Dostava,Random Address 51,2023-12-10 15:00:00,972,Napomena,6.00,2023-12-10 15:00:00
616,422,5,Konzumacija u restoranu,785 Random Street,2023-12-05 13:06:00,972,Sample note for the order.,128.00,2023-12-05 11:06:00
617,144,1,Konzumacija u restoranu,432 Random Street,2023-12-27 13:06:00,972,Sample note for the order.,234.00,2023-12-27 13:06:00
644,158,3,Konzumacija u restoranu,873 Random Street,2023-12-19 13:06:00,972,Sample note for the order.,14.00,2023-12-19 11:06:00
674,423,1,Konzumacija u restoranu,480 Random Street,2023-12-16 13:06:00,215,Sample note for the order.,328.00,2023-12-16 11:06:00
675,167,4,Dostava,503 Random Street,2023-12-16 13:06:00,215,Sample note for the order.,152.00,2023-12-16 11:06:00
681,392,2,Konzumacija u restoranu,133 Random Street,2023-12-17 13:06:00,215,Sample note for the order.,50.00,2023-12-17 11:06:00
682,454,1,Dostava,299 Random Street,2023-12-27 13:06:00,215,Sample note for the order.,150.00,2023-12-27 11:06:00
703,224,9,Konzumacija u restoranu,312 Random Street,2023-12-17 13:06:00,215,Sample note for the order.,126.00,2023-12-17 11:06:00
721,285,8,Konzumacija u restoranu,128 Random Street,2023-12-24 13:06:00,215,Sample note for the order.,108.00,2023-12-24 13:06:00
724,493,9,Dostava,497 Random Street,2023-12-15 13:06:00,215,Sample note for the order.,350.00,2023-12-15 11:06:00
751,124,1,Konzumacija u restoranu,340 Random Street,2023-12-28 13:06:00,499,Sample note for the order.,297.00,2023-12-28 12:06:00
754,298,5,Dostava,261 Random Street,2023-12-09 13:06:00,499,Sample note for the order.,280.00,2023-12-09 12:06:00
760,159,1,Dostava,487 Random Street,2023-12-14 13:06:00,499,Sample note for the order.,88.00,2023-12-14 13:06:00
801,480,7,Dostava,566 Random Street,2023-12-09 13:06:00,499,Sample note for the order.,294.00,2023-12-09 12:06:00
816,400,10,Konzumacija u restoranu,605 Random Street,2023-12-18 13:06:00,499,Sample note for the order.,135.00,2023-12-18 12:06:00
819,484,3,Dostava,55 Random Street,2024-03-02 13:06:00,499,Sample note for the order.,35.00,2024-03-02 11:06:00
820,392,2,Dostava,457 Random Street,2024-09-08 13:06:00,499,Sample note for the order.,272.00,2024-09-08 11:06:00
821,146,1,Dostava,92 Random Street,2024-05-30 13:06:00,499,Sample note for the order.,126.00,2024-05-30 11:06:00
822,509,7,Konzumacija u restoranu,88 Random Street,2024-02-19 13:06:00,499,Sample note for the order.,110.00,2024-02-19 11:06:00
823,200,1,Konzumacija u restoranu,405 Random Street,2024-03-23 13:06:00,499,Sample note for the order.,155.00,2024-03-23 12:06:00
824,411,9,Konzumacija u restoranu,895 Random Street,2024-01-10 13:06:00,499,Sample note for the order.,54.00,2024-01-10 12:06:00
825,143,3,Konzumacija u restoranu,399 Random Street,2024-11-05 13:06:00,499,Sample note for the order.,27.00,2024-11-05 13:06:00
826,547,8,Konzumacija u restoranu,331 Random Street,2024-05-31 13:06:00,499,Sample note for the order.,400.00,2024-05-31 13:06:00
827,430,7,Dostava,384 Random Street,2024-10-22 13:06:00,499,Sample note for the order.,138.00,2024-10-22 12:06:00
828,223,3,Dostava,934 Random Street,2024-06-26 13:06:00,499,Sample note for the order.,28.00,2024-06-26 11:06:00
829,159,8,Konzumacija u restoranu,38 Random Street,2024-08-04 13:06:00,499,Sample note for the order.,28.00,2024-08-04 12:06:00
830,311,5,Dostava,620 Random Street,2024-02-13 13:06:00,499,Sample note for the order.,132.00,2024-02-13 13:06:00
831,448,8,Dostava,311 Random Street,2023-12-21 13:06:00,499,Sample note for the order.,19.00,2023-12-21 13:06:00
832,506,8,Dostava,444 Random Street,2024-08-23 13:06:00,499,Sample note for the order.,119.00,2024-08-23 13:06:00
833,438,10,Dostava,402 Random Street,2024-01-27 13:06:00,499,Sample note for the order.,84.00,2024-01-27 13:06:00
834,375,7,Dostava,619 Random Street,2024-09-03 13:06:00,499,Sample note for the order.,115.00,2024-09-03 12:06:00
835,191,1,Konzumacija u restoranu,776 Random Street,2024-01-17 13:06:00,499,Sample note for the order.,170.00,2024-01-17 12:06:00
836,586,4,Dostava,219 Random Street,2024-02-29 13:06:00,499,Sample note for the order.,120.00,2024-02-29 11:06:00
837,540,5,Konzumacija u restoranu,468 Random Street,2024-07-23 13:06:00,499,Sample note for the order.,288.00,2024-07-23 13:06:00
838,514,2,Dostava,472 Random Street,2024-11-11 13:06:00,499,Sample note for the order.,396.00,2024-11-11 13:06:00
839,336,4,Dostava,693 Random Street,2024-11-12 13:06:00,499,Sample note for the order.,56.00,2024-11-12 13:06:00
840,257,7,Konzumacija u restoranu,263 Random Street,2024-05-25 13:06:00,499,Sample note for the order.,36.00,2024-05-25 13:06:00
841,175,3,Konzumacija u restoranu,611 Random Street,2024-09-24 13:06:00,499,Sample note for the order.,10.00,2024-09-24 12:06:00
1016,120,5,Dostava,867 Random Street,2024-07-10 13:06:00,868,Sample note for the order.,45.00,2024-07-10 12:06:00
1017,546,8,Dostava,580 Random Street,2024-05-07 13:06:00,868,Sample note for the order.,104.00,2024-05-07 13:06:00
1018,464,8,Konzumacija u restoranu,149 Random Street,2024-03-18 13:06:00,868,Sample note for the order.,104.00,2024-03-18 11:06:00
1019,495,6,Dostava,498 Random Street,2024-11-15 13:06:00,868,Sample note for the order.,77.00,2024-11-15 13:06:00
1020,450,6,Konzumacija u restoranu,629 Random Street,2024-08-24 13:06:00,868,Sample note for the order.,39.00,2024-08-24 12:06:00
1021,557,4,Dostava,401 Random Street,2024-03-15 13:06:00,868,Sample note for the order.,180.00,2024-03-15 12:06:00
1022,200,8,Dostava,200 Random Street,2024-10-02 13:06:00,868,Sample note for the order.,330.00,2024-10-02 11:06:00
1023,144,1,Dostava,593 Random Street,2024-01-30 13:06:00,868,Sample note for the order.,82.00,2024-01-30 13:06:00
1024,254,3,Dostava,841 Random Street,2024-06-15 13:06:00,868,Sample note for the order.,392.00,2024-06-15 13:06:00
1025,438,3,Konzumacija u restoranu,514 Random Street,2024-11-09 13:06:00,868,Sample note for the order.,156.00,2024-11-09 11:06:00
1026,325,8,Konzumacija u restoranu,914 Random Street,2024-08-08 13:06:00,868,Sample note for the order.,248.00,2024-08-08 11:06:00
1027,111,6,Konzumacija u restoranu,939 Random Street,2024-06-04 13:06:00,868,Sample note for the order.,441.00,2024-06-04 11:06:00
1028,276,4,Konzumacija u restoranu,876 Random Street,2024-03-04 13:06:00,868,Sample note for the order.,450.00,2024-03-04 12:06:00
1029,295,2,Dostava,489 Random Street,2024-08-28 13:06:00,868,Sample note for the order.,56.00,2024-08-28 11:06:00
1030,444,3,Dostava,3 Random Street,2023-12-23 13:06:00,868,Sample note for the order.,144.00,2023-12-23 13:06:00
1031,176,2,Dostava,767 Random Street,2024-01-25 13:06:00,868,Sample note for the order.,72.00,2024-01-25 11:06:00
1032,165,7,Dostava,912 Random Street,2024-07-03 13:06:00,868,Sample note for the order.,470.00,2024-07-03 13:06:00
1033,211,5,Dostava,430 Random Street,2024-01-06 13:06:00,868,Sample note for the order.,294.00,2024-01-06 11:06:00
1034,306,10,Konzumacija u restoranu,983 Random Street,2024-05-07 13:06:00,868,Sample note for the order.,256.00,2024-05-07 11:06:00
1035,391,9,Dostava,354 Random Street,2024-11-23 13:06:00,868,Sample note for the order.,270.00,2024-11-23 12:06:00
1036,289,8,Konzumacija u restoranu,730 Random Street,2023-12-26 13:06:00,868,Sample note for the order.,441.00,2023-12-26 13:06:00
1037,260,9,Konzumacija u restoranu,442 Random Street,2024-03-23 13:06:00,868,Sample note for the order.,270.00,2024-03-23 12:06:00
1038,316,2,Konzumacija u restoranu,855 Random Street,2024-06-22 13:06:00,868,Sample note for the order.,108.00,2024-06-22 13:06:00
796,219,7,Dostava,172 Random Street,2024-06-11 13:06:00,499,Sample note for the order.,230.00,2023-12-12 02:29:19
655,243,6,Konzumacija u restoranu,16 Random Street,2024-01-02 13:06:00,215,Sample note for the order.,24.00,2023-12-12 01:45:30
704,440,1,Konzumacija u restoranu,765 Random Street,2024-06-05 13:06:00,215,Sample note for the order.,450.00,2023-12-12 23:21:24
719,561,8,Dostava,803 Random Street,2024-09-16 13:06:00,215,Sample note for the order.,25.00,2023-12-12 22:35:35
586,481,3,Dostava,983 Random Street,2024-01-01 13:06:00,972,Sample note for the order.,108.00,2023-12-12 03:30:03
572,134,2,Konzumacija u restoranu,108 Random Street,2024-03-13 13:06:00,972,Sample note for the order.,272.00,2023-12-12 16:33:23
756,144,7,Konzumacija u restoranu,301 Random Street,2024-06-05 13:06:00,499,Sample note for the order.,156.00,2023-12-12 08:27:34
606,179,8,Konzumacija u restoranu,262 Random Street,2024-01-24 13:06:00,972,Sample note for the order.,42.00,2023-12-12 08:30:25
649,556,1,Konzumacija u restoranu,201 Random Street,2024-11-07 13:06:00,972,Sample note for the order.,195.00,2023-12-12 19:33:26
618,162,6,Dostava,168 Random Street,2024-10-01 13:06:00,972,Sample note for the order.,102.00,2023-12-12 03:25:10
656,557,4,Dostava,802 Random Street,2024-08-11 13:06:00,215,Sample note for the order.,80.00,2023-12-12 23:16:18
647,483,2,Dostava,460 Random Street,2024-01-19 13:06:00,972,Sample note for the order.,92.00,2023-12-12 11:11:43
593,414,8,Dostava,932 Random Street,2024-07-16 13:06:00,972,Sample note for the order.,168.00,2023-12-12 17:20:45
614,454,9,Konzumacija u restoranu,276 Random Street,2024-09-21 13:06:00,972,Sample note for the order.,176.00,2023-12-12 15:54:57
672,481,9,Konzumacija u restoranu,324 Random Street,2024-04-17 13:06:00,215,Sample note for the order.,40.00,2023-12-12 15:35:05
648,314,2,Dostava,242 Random Street,2024-09-14 13:06:00,972,Sample note for the order.,100.00,2023-12-12 13:47:10
570,100,4,Konzumacija u restoranu,859 Random Street,2024-03-27 13:06:00,972,Sample note for the order.,384.00,2023-12-12 00:06:11
657,162,3,Konzumacija u restoranu,784 Random Street,2024-02-07 13:06:00,215,Sample note for the order.,40.00,2023-12-12 07:39:34
731,177,8,Dostava,164 Random Street,2024-08-30 13:06:00,215,Sample note for the order.,60.00,2023-12-12 01:17:17
671,526,3,Dostava,422 Random Street,2024-07-11 13:06:00,215,Sample note for the order.,147.00,2023-12-12 10:16:14
654,322,1,Dostava,532 Random Street,2024-01-17 13:06:00,215,Sample note for the order.,200.00,2023-12-12 13:11:38
580,164,3,Dostava,493 Random Street,2024-07-20 13:06:00,972,Sample note for the order.,13.00,2023-12-12 19:27:15
748,424,5,Dostava,617 Random Street,2024-05-12 13:06:00,215,Sample note for the order.,120.00,2023-12-12 13:26:25
628,242,5,Dostava,970 Random Street,2024-05-07 13:06:00,972,Sample note for the order.,24.00,2023-12-12 06:50:55
696,114,9,Konzumacija u restoranu,686 Random Street,2024-04-19 13:06:00,215,Sample note for the order.,64.00,2023-12-12 19:59:18
653,570,3,Dostava,939 Random Street,2024-03-16 13:06:00,215,Sample note for the order.,250.00,2023-12-12 19:23:13
742,353,2,Konzumacija u restoranu,688 Random Street,2024-05-03 13:06:00,215,Sample note for the order.,420.00,2023-12-12 03:11:35
612,165,10,Konzumacija u restoranu,901 Random Street,2024-10-02 13:06:00,972,Sample note for the order.,95.00,2023-12-12 18:03:07
790,153,5,Konzumacija u restoranu,524 Random Street,2024-08-07 13:06:00,499,Sample note for the order.,150.00,2023-12-12 15:12:38
842,511,10,Dostava,445 Random Street,2024-05-20 13:06:00,499,Sample note for the order.,294.00,2024-05-20 13:06:00
843,153,6,Konzumacija u restoranu,486 Random Street,2023-12-11 13:06:00,499,Sample note for the order.,136.00,2023-12-11 11:06:00
844,218,3,Konzumacija u restoranu,222 Random Street,2024-06-30 13:06:00,499,Sample note for the order.,270.00,2024-06-30 12:06:00
845,193,3,Konzumacija u restoranu,691 Random Street,2024-11-06 13:06:00,499,Sample note for the order.,190.00,2024-11-06 11:06:00
846,441,4,Konzumacija u restoranu,361 Random Street,2024-09-20 13:06:00,499,Sample note for the order.,43.00,2024-09-20 11:06:00
847,344,9,Konzumacija u restoranu,107 Random Street,2024-03-28 13:06:00,499,Sample note for the order.,56.00,2024-03-28 13:06:00
848,143,6,Konzumacija u restoranu,409 Random Street,2024-05-24 13:06:00,499,Sample note for the order.,75.00,2024-05-24 11:06:00
849,207,8,Konzumacija u restoranu,968 Random Street,2024-03-07 13:06:00,499,Sample note for the order.,198.00,2024-03-07 13:06:00
850,135,8,Konzumacija u restoranu,471 Random Street,2024-02-24 13:06:00,614,Sample note for the order.,96.00,2024-02-24 13:06:00
851,422,1,Konzumacija u restoranu,379 Random Street,2024-10-07 13:06:00,614,Sample note for the order.,145.00,2024-10-07 11:06:00
852,543,4,Konzumacija u restoranu,158 Random Street,2024-02-15 13:06:00,614,Sample note for the order.,34.00,2024-02-15 13:06:00
853,149,2,Konzumacija u restoranu,608 Random Street,2024-10-23 13:06:00,614,Sample note for the order.,259.00,2024-10-23 12:06:00
854,366,5,Konzumacija u restoranu,11 Random Street,2024-02-07 13:06:00,614,Sample note for the order.,240.00,2024-02-07 13:06:00
855,208,8,Konzumacija u restoranu,288 Random Street,2024-11-07 13:06:00,614,Sample note for the order.,44.00,2024-11-07 12:06:00
856,452,8,Dostava,751 Random Street,2024-11-20 13:06:00,614,Sample note for the order.,42.00,2024-11-20 11:06:00
857,465,8,Dostava,692 Random Street,2024-02-28 13:06:00,614,Sample note for the order.,76.00,2024-02-28 11:06:00
858,199,3,Dostava,760 Random Street,2024-07-15 13:06:00,614,Sample note for the order.,306.00,2024-07-15 13:06:00
859,440,4,Dostava,527 Random Street,2024-09-06 13:06:00,614,Sample note for the order.,282.00,2024-09-06 12:06:00
860,197,5,Dostava,148 Random Street,2023-12-10 13:06:00,614,Sample note for the order.,45.00,2023-12-10 12:06:00
861,201,4,Dostava,493 Random Street,2024-11-18 13:06:00,614,Sample note for the order.,324.00,2024-11-18 11:06:00
862,366,9,Dostava,693 Random Street,2024-09-24 13:06:00,614,Sample note for the order.,24.00,2024-09-24 11:06:00
863,400,4,Dostava,306 Random Street,2024-06-20 13:06:00,614,Sample note for the order.,27.00,2024-06-20 13:06:00
864,300,7,Dostava,142 Random Street,2024-01-28 13:06:00,614,Sample note for the order.,441.00,2024-01-28 12:06:00
865,315,6,Konzumacija u restoranu,331 Random Street,2024-04-13 13:06:00,614,Sample note for the order.,165.00,2024-04-13 13:06:00
866,259,7,Dostava,71 Random Street,2024-10-28 13:06:00,614,Sample note for the order.,140.00,2024-10-28 12:06:00
867,523,7,Dostava,362 Random Street,2024-04-13 13:06:00,614,Sample note for the order.,120.00,2024-04-13 11:06:00
868,323,4,Konzumacija u restoranu,278 Random Street,2024-06-06 13:06:00,614,Sample note for the order.,57.00,2024-06-06 12:06:00
869,320,2,Konzumacija u restoranu,372 Random Street,2024-08-12 13:06:00,614,Sample note for the order.,42.00,2024-08-12 11:06:00
870,269,4,Dostava,560 Random Street,2023-12-27 13:06:00,614,Sample note for the order.,200.00,2023-12-27 13:06:00
871,331,5,Dostava,208 Random Street,2024-05-06 13:06:00,614,Sample note for the order.,306.00,2024-05-06 11:06:00
872,554,10,Konzumacija u restoranu,753 Random Street,2024-03-16 13:06:00,614,Sample note for the order.,12.00,2024-03-16 11:06:00
873,562,2,Konzumacija u restoranu,804 Random Street,2024-08-02 13:06:00,614,Sample note for the order.,19.00,2024-08-02 11:06:00
874,410,3,Konzumacija u restoranu,759 Random Street,2024-03-19 13:06:00,614,Sample note for the order.,21.00,2024-03-19 13:06:00
875,216,10,Dostava,946 Random Street,2024-07-23 13:06:00,614,Sample note for the order.,259.00,2024-07-23 12:06:00
876,535,4,Dostava,511 Random Street,2024-11-14 13:06:00,614,Sample note for the order.,115.00,2024-11-14 11:06:00
877,456,9,Dostava,757 Random Street,2024-03-14 13:06:00,614,Sample note for the order.,72.00,2024-03-14 13:06:00
878,446,4,Konzumacija u restoranu,170 Random Street,2024-04-27 13:06:00,614,Sample note for the order.,260.00,2024-04-27 12:06:00
879,281,2,Konzumacija u restoranu,304 Random Street,2024-03-16 13:06:00,614,Sample note for the order.,120.00,2024-03-16 12:06:00
880,263,10,Dostava,932 Random Street,2024-06-18 13:06:00,614,Sample note for the order.,16.00,2024-06-18 13:06:00
881,119,4,Konzumacija u restoranu,483 Random Street,2024-07-16 13:06:00,614,Sample note for the order.,126.00,2024-07-16 13:06:00
882,467,8,Dostava,765 Random Street,2024-05-31 13:06:00,614,Sample note for the order.,144.00,2024-05-31 12:06:00
883,265,4,Konzumacija u restoranu,398 Random Street,2024-09-10 13:06:00,614,Sample note for the order.,390.00,2024-09-10 13:06:00
884,483,3,Konzumacija u restoranu,974 Random Street,2024-09-04 13:06:00,614,Sample note for the order.,184.00,2024-09-04 12:06:00
885,555,4,Dostava,968 Random Street,2024-08-24 13:06:00,614,Sample note for the order.,98.00,2024-08-24 11:06:00
886,337,1,Dostava,337 Random Street,2024-04-19 13:06:00,614,Sample note for the order.,19.00,2024-04-19 12:06:00
887,106,7,Konzumacija u restoranu,904 Random Street,2024-08-30 13:06:00,614,Sample note for the order.,180.00,2024-08-30 12:06:00
888,309,1,Konzumacija u restoranu,739 Random Street,2024-04-22 13:06:00,614,Sample note for the order.,240.00,2024-04-22 13:06:00
889,337,1,Dostava,919 Random Street,2024-01-26 13:06:00,614,Sample note for the order.,220.00,2024-01-26 13:06:00
890,386,2,Dostava,959 Random Street,2024-03-29 13:06:00,614,Sample note for the order.,195.00,2024-03-29 13:06:00
891,516,8,Dostava,91 Random Street,2024-11-15 13:06:00,614,Sample note for the order.,46.00,2024-11-15 11:06:00
892,127,2,Konzumacija u restoranu,353 Random Street,2024-08-13 13:06:00,614,Sample note for the order.,340.00,2024-08-13 11:06:00
893,584,1,Dostava,342 Random Street,2024-03-11 13:06:00,614,Sample note for the order.,50.00,2024-03-11 12:06:00
894,240,4,Konzumacija u restoranu,451 Random Street,2024-09-11 13:06:00,614,Sample note for the order.,376.00,2024-09-11 12:06:00
895,316,9,Konzumacija u restoranu,985 Random Street,2024-09-04 13:06:00,614,Sample note for the order.,360.00,2024-09-04 11:06:00
896,228,3,Dostava,872 Random Street,2023-12-24 13:06:00,614,Sample note for the order.,43.00,2023-12-24 11:06:00
897,599,2,Konzumacija u restoranu,179 Random Street,2024-06-06 13:06:00,614,Sample note for the order.,259.00,2024-06-06 13:06:00
898,186,9,Dostava,674 Random Street,2024-09-10 13:06:00,614,Sample note for the order.,11.00,2024-09-10 12:06:00
899,136,3,Konzumacija u restoranu,559 Random Street,2023-12-15 13:06:00,614,Sample note for the order.,264.00,2023-12-15 13:06:00
900,539,4,Konzumacija u restoranu,333 Random Street,2024-01-18 13:06:00,614,Sample note for the order.,272.00,2024-01-18 13:06:00
901,569,5,Dostava,913 Random Street,2024-10-20 13:06:00,614,Sample note for the order.,21.00,2024-10-20 13:06:00
902,278,3,Konzumacija u restoranu,119 Random Street,2024-03-15 13:06:00,614,Sample note for the order.,340.00,2024-03-15 13:06:00
903,299,4,Dostava,222 Random Street,2024-01-06 13:06:00,614,Sample note for the order.,72.00,2024-01-06 11:06:00
904,144,10,Konzumacija u restoranu,150 Random Street,2024-02-02 13:06:00,614,Sample note for the order.,40.00,2024-02-02 11:06:00
905,505,2,Konzumacija u restoranu,473 Random Street,2024-06-25 13:06:00,614,Sample note for the order.,243.00,2024-06-25 11:06:00
906,520,5,Konzumacija u restoranu,689 Random Street,2024-03-20 13:06:00,614,Sample note for the order.,294.00,2024-03-20 13:06:00
907,140,9,Dostava,513 Random Street,2024-01-27 13:06:00,614,Sample note for the order.,64.00,2024-01-27 12:06:00
908,219,4,Konzumacija u restoranu,604 Random Street,2024-08-22 13:06:00,614,Sample note for the order.,126.00,2024-08-22 11:06:00
909,278,10,Dostava,746 Random Street,2024-01-26 13:06:00,614,Sample note for the order.,276.00,2024-01-26 12:06:00
910,368,4,Dostava,93 Random Street,2024-02-25 13:06:00,614,Sample note for the order.,207.00,2024-02-25 11:06:00
911,207,6,Konzumacija u restoranu,777 Random Street,2024-03-08 13:06:00,614,Sample note for the order.,126.00,2024-03-08 13:06:00
912,240,6,Konzumacija u restoranu,412 Random Street,2024-08-30 13:06:00,614,Sample note for the order.,141.00,2024-08-30 12:06:00
913,572,1,Konzumacija u restoranu,904 Random Street,2024-07-12 13:06:00,614,Sample note for the order.,18.00,2024-07-12 11:06:00
914,597,6,Dostava,192 Random Street,2024-07-09 13:06:00,614,Sample note for the order.,132.00,2024-07-09 11:06:00
915,104,3,Konzumacija u restoranu,404 Random Street,2024-01-21 13:06:00,614,Sample note for the order.,147.00,2024-01-21 11:06:00
916,410,3,Konzumacija u restoranu,236 Random Street,2024-02-05 13:06:00,614,Sample note for the order.,320.00,2024-02-05 11:06:00
917,408,1,Konzumacija u restoranu,315 Random Street,2024-05-12 13:06:00,614,Sample note for the order.,252.00,2024-05-12 12:06:00
918,453,4,Konzumacija u restoranu,424 Random Street,2024-03-30 13:06:00,614,Sample note for the order.,322.00,2024-03-30 12:06:00
919,166,7,Konzumacija u restoranu,489 Random Street,2024-01-17 13:06:00,614,Sample note for the order.,246.00,2024-01-17 11:06:00
920,527,3,Konzumacija u restoranu,262 Random Street,2024-02-24 13:06:00,614,Sample note for the order.,105.00,2024-02-24 12:06:00
